Reference,Prediction
õ|õ˧ʈʂʰɯ˧ne˧ʝi˥zo˩|tʰi˩˥|ʑi˧qʰwɤ˧gv̩˩ʈʂʰɯ˩dʑo˩|ɖwæ˧˥|lo˧hɑ˧ɲi˥|ə˧sɯ˩kv̩˩|nɑ˩ʑi˧mi˧|ʈʂʰɯ˧dʑo˩|ɬɬɬ,o[UNK] o[UNK]˧ʈʂ[UNK]ɯ˧ne˧ʝi˥zo˩ t[UNK]i˩˥ ʑi˧q[UNK]wɤ˧gv[UNK]˩ʈʂ[UNK]ɯ˩dʑo˩ ɖwæ˧˥ lo˧hɑ˧ɲi˥ ə˧sɯ˩kv[UNK]˩ nɑ˩ʑi˧mi˧ʈʂ[UNK]ɯ˧dʑo˩
ʈʂʰɯ˧|ə˧mi˧|ʈʂʰɯ˧jɤ˩ɳɯ˩|ə˧mi˧|ə˧mɑ˧|tʰɑ˧kɤ˧ʈʂɯ˩le˩|njæ˧zɯ˩|mv̩˩tɕʰi˩bi˩pi˥|kʰi˧˥|dʑo˩,ʈʂ[UNK]ɯ˧ ə˧mi˧ ʈʂ[UNK]ɯ˧njɤ˧ʝ˩ɳɯ˩ ə˧mi˧ ə˧mɑ˧ t[UNK]ɑ˧kɤ˧ʈʂɯ˧ɻɭɯ˧ njɤ˧ɻ[UNK]˩zo˩ mv[UNK]˩tɕ[UNK]i˩bi˩pi˥ k[UNK]i˧dʑo˩
gɤ˩ʈi˥|ʈʰææ̃˧|hɑ˧ʈʂʰɯ˧|æpi˧|ɖɯ˧kʰwɤ˥ɖɯ˩kʰwɤ˩lɑ˩|dzɯ˧ʁo˧|,gɤ˩ʈi˧ ʈ[UNK]æ˧hɑ˧ʈʂ[UNK]e˥ næm[UNK]bi˧ ɖɯ˧k[UNK]wɤ˥ɖɯ˩k[UNK]wɤ˩lɑ˩dzɯ˩ʁo˩
tʰi˩˥|lo˧ʂv̩˩|hi˩nɑ˧mi˧|pi˧dʑo˩|tʰi˩˥|zo˩no˥mmm…|,t[UNK]i˩˥ lo˧ʂɯ˩ hi˩nɑ˧mi˧ pi˧dʑo˩ t[UNK]i˩˥ zo˩no˥ m[UNK]
ʁwɤ˧qo˧hĩ˧|ɖɯ˧tɑ˧˥|le˧ʁɑ˥ʂe˩|ʂe˧hɯ˧dʑo˧|hæ̃˧qʰv̩˥dʑo˩|tʰi˩˥|njɤ˧|ə˧v̩˧˥|le˧tsʰɯ˩ɲi˩tsɯ˩|mv̩˩|,ʁwɤ˧qo˧ hi[UNK]˧ ɖɯ˧tɑ˧˥ le˧ʁɑ˥ʂe˩ se˧hɯ˩dʑo˩ hæ[UNK]˧q[UNK]v[UNK]˥dʑo˩ t[UNK]i˩˥ njɤ˧ ə˧v[UNK]˧˥ le˧ts[UNK]ɯ˩ɲi˩ze˩
ĩ˧|næ˩qʰæ˥ʈʂʰe˩,ihi[UNK]˧ neæ˩q[UNK]æ˥ʈʂ[UNK]e˩
tʰi˩˥|ə˧ʑi˧ki˥ti˩kv̩˩ze˩mæ˩|tʰi˩˥|ə˧ʑi˧ɳɯ˥|ŋv̩˧|tʰi˧ki˧|,t[UNK]i˩˥ ə˧si˧ki˥tɕi˩kv[UNK]˩ze˩mæ˩ t[UNK]i˩˥ ə˧ʑi˧ɳɯ˥ ŋv[UNK]˧ t[UNK]i˧ki˧
õ˧˥|tʰv̩˧qo˧dʑo˧|kʰwɤ˧pʰv̩˧qo˧gɤ˧|pi˧hĩ˧|ʈʂʰɯ˧ne˧ʝi˥|tʰi˧di˩kv̩˩tsɯ˩|ʈʂʰɯ˧ne˧ʝi˥zo˩|gɤ˩ʑi˥|tʰi˧di˩kv̩˩tsɯ˩|,o[UNK]o[UNK]t[UNK]v[UNK]˧qo˧dʑo˧ q[UNK]wɤ˧pv[UNK]˧qo˥gɤ˩pi˧ ʈʂ[UNK]ɯ˧ne˧ʝi˥ t[UNK]i˧di˩kv[UNK]˩tsɯ˩ ʈʂ[UNK]ɯ˧ne˧ʝi˥zo˩ gɤ˩ʑi˥ t[UNK]i˧di˩kv[UNK]˩tsɯ˩
njæ˧ɻ̍˩|ə˧ʝi˧ʂɯ˥ʝi˩|mo˧ɖʐɤ˥bi˩dʑo˩|mo˧kɤ˩dzi˩ʈʰæ˩ko˩pi˩zo˩|no˧|mo˧kɤ˩si˩dzi˩|ə˧sɯ˥|,njæ˧ɻæ˩ ə˧ʝi˧ʂɯ˥ʝi˩ mo˧ɖʐɤ˥bi˩dʑo˩ mo˧kɤ˩dʑɯ˩ʈ[UNK]wæ˩qo˩pi˩zo˩ mv[UNK]˧mo˧kɤ˩ si˩dzɯ˩ ə˧sɯ˥
tʰi˧tɕɤ˩dʑo˩|tʰi˩˥|ɖɯ˧pʰo˧hĩ˧bv̩˧|ʝi˧qv̩˥|ɖɯ˧ɭɯ˧|mɤ˧dʑo˧zo˧|,t[UNK]i˧tɕɤ˩dʑo˩ t[UNK]i˩˥ ɖɯ˧p[UNK]o˧hi[UNK]˧bv[UNK]˥ ʝi˧qv[UNK]˥ ɖɯ˧ɭɯ˧ɳi˧ mɤ˧dʑo˧zo˩
njæ˧sɯ˩kv̩˩|ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩|zo˩no˥|njæ˧sɯ˩kv̩˩|tʰi˧dzi˩hĩ˩tʰv̩˩ʁwɤ˩dʑo˩|zo˩no˥|ɖæ˩mi˧ə˧lɑ˧ʁwɤ˧|pi˧kv̩˩tsɯ˩|mv̩˩|ə˧ʝi˧ʂɯ˥ʝi˩|,njæ˧sɯ˩kv[UNK]˩ ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ zo˩no˥ njæ˧sɯ˩kv[UNK]˩ t[UNK]i˧dzi˩hi[UNK]˩t[UNK]v[UNK]˩ʁoɤ˩ dʑo˩ zo˩no˥ ɖæ˩mi˧ ə˧lɑ˧ʁwɤ˧ pi˧kv[UNK]˩tsɯ˩ mv[UNK]˩ ə˧ʝi˧ʂɯ˥ʝi˩
tʰi˩˥|mɤ˧ɖwæ˩|mɤ˧ɖwæ˩|njɤ˧|ə˧v̩˧˥|ɖɯ˩hĩ˩ɳɯ˥|wɤ˩˥|ə˧tso˧ɖwæ˩tso˩dʑo˩|njɤ˧ɳɯ˧|wɤ˩˥|hwæ˧bi˧|pi˧|,t[UNK]i˩˥ mɤ˧ɖwæ˩mɑ˧ɖwæ˩ njɤ˧ ə˧v[UNK]˧˥ ɖɯ˩ʝi˩ɳɯ˥ wɤ˩˥ ə˧tso˧ɖwæ˩to˩dʑo˩ njɤ˧ɳɯ˧ wɤ˩˥ hwæ˧bi˧pi˧
jɤ˧ŋɤ˧ɳɯ˧dʑo˥|əəə…ho˧di˧po˧hɯ˥|,jɤ˧ŋɤ˧ɳɯ˧dʑo˥ əə[UNK]ho˧di˧po˧hɯ˥
əəə…zo˩no˥|si˧kʰɯ˧ɭɯ˧bv̩˥pi˩zo˩|zo˩no˧dʑo˥|tsʰo˧jo˩mv̩˩ʈʂæ˩ɲi˩mæ˩|ə˩gi˩|,əə[UNK]zo˩no˥ si˧k[UNK]ɯ˧ɭɯ˧bv[UNK]˥ pi˧zo˩ zo˩no˧dʑo˥ ts[UNK]o˧ʝi˩mv[UNK]˩ʈʂæ˩ɲi˩ze˩mæ˩ ə˩gi˩
tʰi˩˥|gi˩˥|dʑo˩|mɤ˧ɲi˩ze˩|õ˧˥|hɤ˩ʈʂɤ˩tso˥|mɤ˧ɲi˩|,t[UNK]i˩˥ gi˩˥ dʑo˩ mɤ˧ɲi˩ze˩ o[UNK]˧˥ hɤ˩ʈʂɤ˩tso˥mɤ˧ɲi˩
tʰi˩˥|tʰv̩˧ɲi˧ʑ|ɲi˧ʑi˩ɲi˩tsɯ˩|mv̩˩|ɖɯ˧ʑi˩ɻ̍˩dʑo˩|zo˧ɖɯ˧v̩˧tɕʰi˧|pi˧zo˩|,t[UNK]i˩˥ ʈʂ[UNK]ɯ˧ɲi˧ʑi˩ ɲi˧ʑi˩ɲi˩tsɯ˩ mv[UNK]˩ ɖɯ˧ʑi˩ɻ[UNK]˩dʑo˩ zo˧ ɖɯ˧v[UNK]˧tɕ[UNK]i˧bi˥ pi˧zo˩
tʰi˩˥|tsʰi˧qʰæ˧˥|dʑo˩|wɤ˩˥|ʈʂo˩bo˩ti˥|mmm…ʈʂwæ˧ʑi˧qʰwɤ˧gv̩˩ɲi˩pi˩|ŋwɤ˧ʈʂwæ˧ʑi˧qʰwɤ˧gv̩˩|,t[UNK]i˩˥ ts[UNK]i˧q[UNK]æ˧˥ dʑo˩ wɤ˩˥ ʈʂo˩bo˩ti˥ mm[UNK]ʈʈʂwæ˧ ʑi˧q[UNK]wɤ˧gv[UNK]˩ɲi˩pi˩ ŋwɤ˧ʈʂwæ˧ ʑi˧q[UNK]wɤ˧ gv[UNK]˩˥
njæ˧sɯ˩kv̩˩|qo˩qɑ˩˥|ɑ˩ʁo˧dʑo˩|pi˧dʑo˩|ɖʐɯ˧qo˩ni˩hĩ˩ɳɯ˩dʑo˩|əəə…ʐwæ˧|tʰi˧se˥|le˧mv̩˥kv̩˩ze˩|,njæ˧sɯ˩kv[UNK]˩ qo˩qɑ˩˥ ɑ˩ʁo˥ɖʐɯ˩ pi˩dʑo˩ ɖʐɯ˧qo˩ni˩ɳɯ˩dʑo˩ əə[UNK]ʐwæ˧ t[UNK]i˧se˥ le˧mv[UNK]˩kv[UNK]˩ze˩
tʰi˩˥|hĩ˧|ʈʂʰɯ˧ʂæ˧ʂæ˧hĩ˧qo˩|le˧tsʰɯ˩ɲi˩mæ˩|,t[UNK]i˩˥ hi[UNK]˧ ʈʂ[UNK]ɯ˧ʂæ˧ʂæ˧hi[UNK]˧qo˩ le˧ts[UNK]ɯ˧ɲi˩ mæ˩
hĩ˧|gi˩˥|wɤ˩˥dzɑ˧hĩ˧ki˧|ʂe˧bi˧v̩˩tʰv̩˩hĩ˩ʈʂʰɯ˩dʑo˩|mɤ˧tsɤ˧ze˧|pi˧zo˩|tʰi˩˥|le˧wo˧tʰo˥tɕo˩|le˧tsʰɯ˩zo˩|,hi[UNK]˧ gʑi˧˥ dzɑ˧hi[UNK]˧ki˧ ʂe˧bi˧v[UNK]˧t[UNK]v[UNK]˧hi[UNK]˧ ʈʂ[UNK]ɯ˧dʑo˩ mɤ˧tsɤ˧ze˧ pi˧zo˩ t[UNK]i˩˥ le˧ʁo˧t[UNK]o˧tɕo˩ le˧ts[UNK]ɯ˩zo˩
ə˧mv̩˧ki˥|ʈʂʰɯ˧ne˧ʝi˥|ʝi˧lo˧mɤ˧dʑɤ˩ɲi˩ze˩mæ˩|,ə˧mv[UNK]˧ki˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ ʝi˧lo˧ mɤ˧dʑɤ˩ɲi˩ze˩mæ˩
ni˧mi˧ʈʂʰɯ˧|zo˩no˥|go˧mi˧ʈʂʰɯ˧|hĩ˧ki˧ki˩|pi˧dʑo˩|ni˧mi˧ɲi˥ze˩mæ˩|ə˩gi˩|,ni˧mi˧ʈʂ[UNK]ɯ˧ zo˩no˥ go˧mi˧ʈʂ[UNK]ɯ˧ hi[UNK]˧ki˧ki˩ pi˧dʑo˩ ni˧mi˧ɲi˥ze˩mæ˩ ə˩gi˩
dʑɯ˧ʈʂʰwæ˧,dze˧ʈʂ[UNK]ɤ˥
ə˧zɯ˩|sɯ˧sɯ˧pi˧dʑo˩|ə˧zɯ˩|ɖʐv̩˧ɲi˩pi˩|ɖʐv̩˧ɖʐv̩˧|no˧ɳɯ˧njɤ˩mv̩˩|njɤ˧ɳɯ˧no˩mv̩˩|ɖɯ˧pæ˥|le˧tɕʰo˥tɕʰo˩hɯ˩|,ə˧zɯ˩ si˧sɯ˧pi˩dʑo˩ ə˧zɯ˩ ɖʐv[UNK]˧ɲi˩pi˩ ɖʐv[UNK]˧ ɖʐv[UNK]˧no˧ɻ njɤ˩mv[UNK]˩ njɤ˧ɳɯ˧no˩mv[UNK]˩ ɖɯ˧pæ˧i le˧ʈʂ[UNK]o˧tɕo˩hɯ˩
tʰi˩˥|ʈʂʰɯ˧ne˧ʝi˥|tʰi˧dzi˩dʑo˩|tʰi˩˥|əəə…gv̩˧mɑ˧tsʰɯ˩ɻ̍˩pi˩|tsʰɯ˧ɻ̍˧ɬɑ˩mv̩˩pi˩|əəə…ɖɯ˩mɑ˧ɬɑ˩tsʰo˩pi˩|ʈʂʰɯ˧sɯ˩kv̩˩|so˩kv̩˩˥|njɤ˧|ə˧ʑi˧˥|ɖɯ˩mɑ˧pv̩˩ʈʰɯ˩|ʈʂʰɯ˧sɯ˩kv̩˩|ʐv̩˩kv̩˩ɲi˥tsɯ˩|mv̩˩,t[UNK]i˩˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ t[UNK]i˧dzi˩dʑo˩ t[UNK]i˩˥ əə[UNK]gv[UNK]˧mɤ˧ts[UNK]ɯ˩ɻ[UNK]˩ pi˩ ts[UNK]ɯ˧ɻ[UNK]˩ɬɑ˩mv[UNK]˩pi˩ əə[UNK]ɖɯ˩mɑ˧lɑ˩ts[UNK]o˩pi˩ ʈʂ[UNK]ɯ˧sɯ˩kv[UNK]˩ so˩kv[UNK]˩˥ njɤ˧ ə˧ʑi˧˥ ɖɯ˩mɤ˧pv[UNK]˩ʈ[UNK]ɯ˩ ʈʂ[UNK]æ˧sɯ˩kv[UNK]˩ ʐv[UNK]˩kv[UNK]˩ɲi˥tsɯ˩ mv[UNK]˩
njɤ˧|ə˧si˧ɳɯ˧|zo˩no˥|ə˧sɯ˩kv̩˩|no˧sɯ˩kv̩˩|zo˩no˥|le˧ʐwɤ˩pi˩dʑo˩|,njɤ˧ ə˧ʂi˧ɻʝi˥ zo˩no˥ ə˧sɯ˩kv[UNK]˩ no˧sɯ˩kv[UNK]˩ zo˩no˥ le˧ʐwɤ˩ pi˧dʑo˩
ʈʂʰɯ˧ne˧ʝi˥|le˧tɕɯ˧ɭɯ˧|le˧tɕɯ˧ɭɯ˧|ʈʂʰɯ˧ne˧ʝi˥|le˧gv̩˩|,ʈʂ[UNK]ɯ˧ne˧ʝi˥ le˧tɕɯ˧˥˥ le˧tɕɯ˧lo˥ ʈʂ[UNK]ɯ˧ne˧ʝi˥ le˧gv[UNK]˩
mv̩˧dze˧ki˧ɲi˥tsɯ˩|mv̩˩|qʰɑ˧dze˧ki˧ɲi˥tsɯ˩|mv̩˩|ɕi˧ɭɯ˧ki˧ɲi˥tsɯ˩|mv̩˩|,mv[UNK]˧dze˧ki˧ɲi˥tsɯ˩ mv[UNK]˩ q[UNK]ɑ˧dze˧ki˧ɲi˥tsɯ˩ mv[UNK]˩ si˧ɭɯ˧ki˧ɲi˥tsɯ˩ mv[UNK]˩
njɤ˧|tnjɤ˧|le˧ʂv̩˧ɖv̩˧zo˥|no˧ki˧|ʂe˧tsʰɯ˩ɲi˩|,njɤ˧ ˧ʈi˧ njɤ˧ le˧ʂv[UNK]˧ɖv[UNK]˧zo˥ no˧ ki˧ ʂe˧ts[UNK]ɯ˧ɲi˩
tʰi˩˥|ʈʂʰæ˧ɣɯ˧ki˩hĩ˩|dʑɤ˩˥|mɤ˧dʑo˩|,t[UNK]i˩˥ ʈʂ[UNK]æ˧ɣɯ˧ki˩hi[UNK]˩ dʑɤ˩˥ mɤ˧dʑo˩
wɤ˩˥|le˧tɕɯ˩tɕɯ˩|le˧po˧tsʰɯ˧˥|wɤ˩˥|ɬi˧di˩|tɕʰi˧kv̩˥mæ˩|,wɤ˩˥ le˧tɕɯ˩tɕɯ˩ le˧po˧ts[UNK]ɯ˧˥ wɤ˩˥ ɬi˧di˩ tɕ[UNK]ɤ˧kv[UNK]˧˥ mæ˩
kʰvkʰv̩˩mi˩ʈʂʰɯ˥dʑo˩|njɤ˧le˧gv̩˧|ʐo˩˥|ɖɯ˧mɤ˧kv̩˧tsɯ˥|mv̩˩,k[UNK]v[UNK]˧ ɳo˥ k[UNK]v[UNK]˩mi˩ʈʂ[UNK]ɯ˥dʑo˩ njɤ˧le˧go[UNK]˥ ʐo˩˥ ɖɯ˧mɤ˧kv[UNK]˧tsɯ˥ mv[UNK]˩
wɤ˩˥|kɯ˧ʈʂʰwɤ˩|ɖɯ˧tɕʰi˧gv̩˩|dʑɤ˩tsʰo˧hĩ˧ɻæ˧ki˥|,wɤ˩˥ kɯ˧ʈʂ[UNK]wɤ˩ ɖɯ˧tɕ[UNK]i˩gv[UNK]˩ dʑɤ˩ts[UNK]o˥hi[UNK]˧ki˧
zo˩no˥|ʈʈæ˧bɤ˧ʈʂʰɯ˧dʑo˩|ʈʂʰæ˧ɣɯ˧mɤ˧dʑo˧ɲi˥|ʈʂʰo˧lɑ˧kv̩˥|,zo˩no˥ ʈʈæ˧bɤ˧ʈʂ[UNK]ɯ˧dʑo˩ ʈʂ[UNK]æ˧ɣɯ˧ mɤ˧dʑo˧ɲi˥ ʈʂ[UNK]o˧lɑ˧kv[UNK]˥
tʰi˩˥|le˧tɕɤ˧se˥|wɤ˩˥|le˧bv̩˩|,t[UNK]i˩˥ le˧tɕɤ˧se˥ wɤ˩˥ le˧bv[UNK]˩
õ˧ʈʂʰɯ˧ne˧ʝi˥dʑo˩|tʰi˩˥|ə˧ʝi˧ʂɯ˥ʝi˩|mo˧ɳɯ˥|tsʰi˧ʝi˧|mo˧ɳɯ˥|tʰv̩˧ʁo˥|tʰv̩˧qo˧|mo˧ɳɯ˥|dv̩˩ze˥|tʰv̩˧qo˧|mo˧ɳɯ˥|dv̩˩pi˧|gɯ˩ʝi˥|dzɯ˧mɤ˧kv̩˩ze˩|õ,o[UNK]˧ʈʂ[UNK]ɯ˧ne˧ʝi˥dʑo˩ t[UNK]i˩˥ ə˧ʝi˧ʂɯ˥ʝi˩ mo˧ɳɯ˥ tɕ[UNK]o˧ɲi˥ɻ[UNK]˩ mo˩ɳɯ˥ t[UNK]v[UNK]˧v[UNK]˧ t[UNK]v[UNK]˧qwɤ˧ mo˧ɳɯ˥ dv[UNK]˩ze˩ t[UNK]v[UNK]˧qwɤ˧ mo˧ɳɯ˥ d˩pi˧ gi˩˥ mɤ˧dzɯ˧mɤ˧kv[UNK]˩ze˩ o[UNK]˧
tʰi˩˥|ə˧mi˧le˧ʂɯ˧ɲi˥ho˩ze˩wɤ˩|æ˧ʂæ˧tɑ˩mv̩˩dʑo˩|,t[UNK]i˩˥ ə˧mi˧ le˧ʂɯ˧ɲi˥ho˩ze˩wɤ˥ æ˧ʂæ˧tɑ˩mv[UNK]˩dʑo˩
əəə…ʐv̩˧tsʰi˩gv̩˩hɑ̃˩ɖɯ˩kʰv̩˩mmm…lv̩˩kʰɯ˩zo˩kv̩˥pi˩|,əə[UNK]ʐv[UNK]˧ts[UNK]i˩gv[UNK]˩hɑ[UNK]˩ɖɯ˩k[UNK]v[UNK]˩ [UNK]ʐv[UNK]˧k[UNK]ɯ˩zo˩kv[UNK]˩pi˩
hæ̃˧pɤ˧tʰi˧mv̩˧kʰɯ˧se˥|dʑo˩|tʰi˩˥|dʑɯ˧ki˥|tʰi˧ki˩kʰɯ˩|,hæ[UNK]˧pɤ˧t[UNK]i˧mv[UNK]˧k[UNK]ɯ˧se˥ t[UNK]i˩˥ dʑɯ˩ki˥ t[UNK]i˧ki˩k[UNK]ɯ˩
le˧qʰwɤ˧|ʈʂʰɯ˧gi˧˥|ɖɯ˧ʈʂæ˧gv̩˧dʑo˩|tʰi˩˥|ɖɯ˧ɲi˥|ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩|hɑ˧ʈʂʰɯ˧|zo˩no˧ni˩|ə˧tso˧fv̩˧ɻ̍˧|mɤ˧dʑo˧ɲi˥mæ˩|ə˩gi˩|,le˧q[UNK]wɤ˧ ʈʂ[UNK]ɯ˧dʑo˧ ɖɯ˧ʈʂæ˧gv[UNK]˧dʑo˩ t[UNK]i˩˥ ɖɯ˧ɲi˥ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩ hɑ˧ʈʂ[UNK]ɯ˧ zo˩no˧ni˩ ə˧tso˧fv[UNK]˧ɯ˩ mɤ˧dʑo˧ɲi˥mæ˩ ə˩gi˩
kv̩˧tsʰɑ˧ɻ̍˧pi˥|kv̩˧tsʰɑ˥|ki˧zo˧pi˧zo˥|,kv[UNK]˧ts[UNK]ɤ˧ɻ[UNK]˧pi˥ kv[UNK]˧ts[UNK]ɑ˥ki˩zo˧pi˧zo˥
tʰi˩˥|tʰi˩˥|hĩ˧bæ˧ʈʂʰɯ˧|qʰɑ˩jɤ˩le˩tsʰɯ˩bi˥|qo˩ho˧˥|le˧pɤ˥pɤ˩|jo˧kv̩˧˥|mæ˩|,t[UNK]i˩˥ t[UNK]i˩˥ hi[UNK]˧bæ˧ʈʂ[UNK]ɯ˧ q[UNK]ɑ˩jɤ˩le˩ts[UNK]ɯ˩bi˥ qo˩ho˧ le˧pɤ˥ pɤo˧jo˧kv[UNK]˧˥ mæ˩
ʈæ˧bɤ˧ʁɑ˧ʂe˩|dɑ˧pɤ˧ʁɑ˧ʂe˩|ʐɯ˧hwɤ˩kv̩˩mæ˩|,ʈæ˧bɤ˧ʁɑ˧ʂe˩ dɑ˧pɤ˧ʁɑ˧ʂe˩ ʐɯ˧hwɤ˩kv[UNK]˩mæ˩
ə˧tso˧go˩,lɑə˧dzso˧kv[UNK]˩
tʰi˩˥|sɯ˧pʰi˧|ɖɯ˧ʑi˩ɲi˩tsɯ˩|mv̩˩|tʰi˩˥|kv̩˧tsʰɑ˥ki˩dzi˩hɯ˩ɲi˩tsɯ˩|mv̩˩,t[UNK]i˩˥ sɯ˧p[UNK]i˧ ɖɯ˧ʑi˩ɲi˩tsɯ˩ mv[UNK]˩ t[UNK]i˩˥ kv[UNK]˧ts[UNK]ɑ˥pv[UNK]˩ki˩ dzɯ˩hɯ˩ɲi˩tsɯ˩ mv[UNK]˩
nɑ˩ʈʂʰɯ˥|ɖɯ˩lo˧ʈʂʰɯ˧|,nɑ˩ʈʂ[UNK]ɯ˥ ɖɯ˧lo˧ʈʂ[UNK]ɯ˧
ə˧ɲi˧tsʰi˧ɲi˧|ɖɯ˧sɑ˥|mɤ˧ʝi˧ɲi˥ze˩mæ˩|lv̩˧|ʈʂʰɯ˧ne˧ʝi˥|tʰi˧ɬi˧kʰɯ˥|,ə˧ɲi˧ts[UNK]i˧ɲi˧ ɖɯ˧sɑ˥ mɤ˧ʝo˧ɲi˥˩mæ˩ ɖlv˧ ʈʂɯ˧ne˧ʝi˥ t[UNK]i˧ɬi˧k[UNK]ɯ˧˥
ʂɯ˧hĩ˧ʈʂʰɯ˧|ɖɯ˧kʰɤ˧pɤ˧pɤ˥hĩ˩lɑ˩|əəə…le˧pv̩˧hĩ˧tʰv̩˧|ɲi˧ɲi˧dzɯ˧di˧˥|pɤ˧pɤ˥hĩ˩tʰv̩˩|ʂɯ˧hĩ˧bv̩˧|ɖɯ˧tci˩pɤ˩pɤ˩hĩ˩|ʐɯ˧|ʐwæ˩ɲi˥ze˩wɤ˩|,ʂɯ˧hi[UNK]˧ʈʂ[UNK]ɯ˧ ɖɯ˧k[UNK]ɤ˧pɤ˧pɤ˥hi[UNK]˩lɑ˩ əə[UNK]le˧pv[UNK]˧hi[UNK]˧t[UNK]v[UNK]˧ ɲi˧ɲi˧dzɯ˧di˧˥ pɤ˧pɤ˥hi[UNK]˩t[UNK]v[UNK]˩ ʂɯ˧hi[UNK]˧bv[UNK]˧ ɖɯ˧tɕ[UNK]i˩pɤ˩pɤ˩hi[UNK] ʐɯ˧ ʐwæ˩ɲi˥ze˩wɤ˩
ə˧ʝi˧ʂɯ˥ʝi˩|ɖɯ˧ʑi˩ɻ̍˩ʈʂʰɯ˩dʑo˩|əəə…qv̩˧ɻ̍˧|pi˧hĩ˧|ɖɯ˧ʝi˧dzi˩ɲi˩tsɯ˩|mv̩˩|qv̩˧ɻ̍˧ʁo˧qʰwɤ˥,ə˧ʝi˧ʂɯ˥ʝi˩ ɖɯ˧ʑi˩hi[UNK]˩ʈʂ[UNK]ɯ˩dʑo˩ ə[UNK]qqv[UNK]˧ɻ[UNK]˧pi˧hi[UNK]˧ ɖɯ˧ʝi˩dzi˩ɲi˩tsɯ˩ mv[UNK]˩ qv[UNK]˧ɻ[UNK]˧ʁo˧q[UNK]wɤ˥
ɳɯ˩dʑɯ˥lɑ˩|v̩˩tsʰɤ˧lɑ˥ɲi˩wɤ˩|v̩˩tsʰɤ˧tæ˧pv̩˥lɑ˩ɲi˩|ə˧ji˧ʂɯ˥ʝi˩|,ɳɯ˩dʑɯ˥lɑ˩ v[UNK]˩ts[UNK]ɤ˧lɑ˥ɲi˩ v[UNK]˩ts[UNK]ɤ˧tæ˧pv[UNK]˥lɑ˩ɲi˩ ə˧ʝi˧ʂɯ˥ʝi˩
hɑ˧|ŋwɤ˩bæ˩hĩ˥ʈʂʰɯ˩|ʈʂʰɯ˧qʰwɤ˧pɤ˥|ʈʂʰɯ˧ɖɯ˧ɖɯ˧|ʈʂʰɯ˧ɖɯ˧ɖɯ˧hĩ˧ʈʂʰɯ˧bæ˧|ŋwɤ˧qʰwɤ˩|,hɑ˧ ŋwɤ˩bæ˩hi[UNK]˥ʈʂ[UNK]ɯ˩ ʈʂ[UNK]ɯ˧ q[UNK]wɤ˩pɤ˧ ʈʂ[UNK]ɯ˧ɖɯ˧ɯ˧ɖɯ˧ʂɯ˩ɖɯ˧ɭɯ[UNK]˩ɖɯ˩hi[UNK]˩ ʈʂɯ˧pæ˧ ŋwɤ˧q[UNK]wɤ˩
tʰi˩˥|go˧mi˧|tʰv̩˧v̩˧ɳɯ˩dʑo˩|gɤ˩ʈʂʰv̩˩˥|tʰi˧ʈʂʰv̩˧˥|dʑo˩,t[UNK]i˩˥ go˧mi˧ ʈʂ[UNK]ɯ˧v[UNK]˧ɳɯ˩dʑo˩ gɤ˩ʈʂ[UNK]ɻ[UNK]˩˥ t[UNK]i˧ʈʂ[UNK]˧˥ dʑo˩
tʰi˩˥|zo˩no˥|əəə…zo˧mv̩˥lɑ˩|le˧ʐɤ˧tʰv̩˧|ʑi˧qʰwɤ˧lɑ˧|le˧tsʰi˧tʰv̩˧|əəə…mv̩˧di˧lɑ˥|le˧pæ˧˥|tʰv̩˩|ɖʐe˧lɑ˧|dʑo˧tsɯ˧˥|mv̩˩,t[UNK]i˩˥ zo˩no˥ ə[UNK]zo˧mv[UNK]˥lɑ˩ le˧ʐɤ˩t[UNK]v[UNK]˧ ʑi˧q[UNK]wɤ˧lɑ˧ le˧ts[UNK]i˧t[UNK]v[UNK]˧ əə[UNK]mv[UNK]˧di˧lɑ˥ le˧pæ˧˥t[UNK]v[UNK]˧ ɖʐe˧lɑ˧ dʑo˩tsɯ˥ mv[UNK]˩
ə˧mi˧ʈʂʰɯ˧|tʰi˩˥|mmm…ʐv̩˧di˧dʑo˧˥|ɖɯ˧ʝi˧ɲi˩ze˩mæ˩|ə˩gi˩|dʑɯ˩ʁo˩ʁo˩to˥|ɖɯ˩tɕo˧fæ˧hĩ˧|ɖɯ˧ʝi˧qo˧|dʑo˩ɲi˩ho˥ze˩mæ˩|,ə˧mi˧ʈʂ[UNK]ɯ˧ t[UNK]i˩˥ m[UNK]ʐv[UNK]˧di˧ dʑo˧˥ ɖɯ˧ʝi˥ɲi˩ze˩mæ˩ ə˩gi˩ dʑɯ˩ʁo˩ʁo˩to˥ ɖɯ˧tɕo˧ fæ˧hi[UNK]˧ ɖɯ˧ʝi˧qo˧ dʑo˧ɲi˥qo˩ze˩mæ˩
